[0.0801636, -0.069743395], Expected: 2, Guessed: 2
[-0.69837725, 0.7519809], Expected: 1, Guessed: 1
[-0.24695992, -0.6710912], Expected: 0, Guessed: 0
[0.17888045, 0.056273937], Expected: 2, Guessed: 2
[0.06435132, 0.09594464], Expected: 2, Guessed: 2
[0.93505716, 0.5730784], Expected: 0, Guessed: 0
[0.08762455, -0.18149245], Expected: 2, Guessed: 2
[-0.64432204, 0.62381434], Expected: 1, Guessed: 1
[0.0034341812, -0.23181355], Expected: 2, Guessed: 3
[-0.4922892, 0.8136189], Expected: 0, Guessed: 0
[-0.19721246, 0.9805734], Expected: 3, Guessed: 3
[-0.39450514, -0.72206473], Expected: 0, Guessed: 0
[0.062234044, 0.505268], Expected: 1, Guessed: 2
[-0.5329238, -0.62402], Expected: 1, Guessed: 1
[-0.6603446, -0.9771038], Expected: 3, Guessed: 1
[-0.22180259, 0.4180467], Expected: 0, Guessed: 0
[0.15529084, -0.9266964], Expected: 2, Guessed: 2
[-0.30898976, 0.10842872], Expected: 0, Guessed: 0
[-0.8016044, -0.15031028], Expected: 3, Guessed: 3
[-0.5753958, -0.84010434], Expected: 1, Guessed: 1
[0.5593041, 0.6152966], Expected: 0, Guessed: 0
[0.25661707, -0.047990322], Expected: 2, Guessed: 2
[0.38463807, -0.6041405], Expected: 1, Guessed: 1
[0.8827293, -0.96671367], Expected: 2, Guessed: 2
[-0.8737056, 0.9521402], Expected: 3, Guessed: 3
[-0.11182082, -0.018345118], Expected: 3, Guessed: 3
[0.5202501, 0.058508635], Expected: 0, Guessed: 0
[0.86829996, 0.8205123], Expected: 2, Guessed: 2
[-0.6120455, 0.8779806], Expected: 1, Guessed: 1
[0.4303887, -0.57322013], Expected: 1, Guessed: 1
[0.38122177, -0.54012597], Expected: 1, Guessed: 1
[0.31521523, 0.6568972], Expected: 1, Guessed: 1
[0.75242615, -0.021916628], Expected: 2, Guessed: 2
[-0.36741388, -0.84297776], Expected: 0, Guessed: 0
[-0.7320032, -0.18309915], Expected: 1, Guessed: 1
[0.6823144, 0.82148635], Expected: 0, Guessed: 0
[-0.5814377, -0.30539846], Expected: 1, Guessed: 1
[0.031663895, 0.83167136], Expected: 2, Guessed: 2
[-0.6813382, -0.9538219], Expected: 3, Guessed: 1
[0.9760294, -0.734934], Expected: 2, Guessed: 0
[-0.88093674, -0.62458277], Expected: 1, Guessed: 3
[-0.21425295, -0.06327319], Expected: 3, Guessed: 3
[0.6429826, 0.39897394], Expected: 0, Guessed: 0
[0.33419645, -0.14566517], Expected: 1, Guessed: 2
[0.35270488, 0.86348975], Expected: 1, Guessed: 1
[0.9377161, -0.7285862], Expected: 2, Guessed: 0
[0.98535895, -0.10037482], Expected: 2, Guessed: 2
[0.17450535, 0.5551851], Expected: 1, Guessed: 1
[-0.6227957, 0.8189086], Expected: 1, Guessed: 1
[-0.22291064, 0.09637427], Expected: 3, Guessed: 3
[-0.48265672, 0.15155125], Expected: 0, Guessed: 0
[-0.36823082, -0.66530037], Expected: 0, Guessed: 0
[-0.09190333, -0.58688116], Expected: 0, Guessed: 0
[0.7207376, -0.8813542], Expected: 0, Guessed: 0
[0.31544888, -0.8213221], Expected: 1, Guessed: 1
[0.29139924, -0.56939673], Expected: 1, Guessed: 1
[-0.7946763, -0.70545113], Expected: 1, Guessed: 3
[-0.55264735, 0.76392543], Expected: 1, Guessed: 1
[-0.9024502, -0.1139276], Expected: 3, Guessed: 3
[-0.92782485, 0.81855583], Expected: 3, Guessed: 3
[0.028064966, -0.20286322], Expected: 2, Guessed: 2
[0.8975512, -0.22548676], Expected: 2, Guessed: 2
[0.8712565, -0.54789364], Expected: 0, Guessed: 0
[-0.48040152, -0.79819286], Expected: 0, Guessed: 0
[0.7996695, 0.24801743], Expected: 0, Guessed: 0
[-0.80906034, -0.9282861], Expected: 3, Guessed: 3
[0.29022324, 0.5054797], Expected: 1, Guessed: 1
[-0.2581724, -0.34561837], Expected: 0, Guessed: 0
[0.2483728, 0.92789984], Expected: 2, Guessed: 2
[-0.4865713, 0.034371376], Expected: 3, Guessed: 0
[0.71942747, -0.70604694], Expected: 0, Guessed: 0
[-0.24660945, -0.8319044], Expected: 0, Guessed: 0
[-0.22418475, 0.7474253], Expected: 0, Guessed: 0
[0.59253013, 0.87059796], Expected: 0, Guessed: 0
[0.27803504, 0.2176528], Expected: 1, Guessed: 1
[0.087575436, 0.7853533], Expected: 2, Guessed: 2
[0.85420275, -0.97493136], Expected: 2, Guessed: 2
[0.50532866, -0.40234828], Expected: 0, Guessed: 0
[-0.5414523, -0.92167246], Expected: 1, Guessed: 1
[-0.8033955, -0.25619006], Expected: 1, Guessed: 1
[-0.13572013, 0.8869046], Expected: 3, Guessed: 3
[0.25327027, -0.70469224], Expected: 1, Guessed: 1
[-0.686499, -0.8130473], Expected: 1, Guessed: 1
[-0.62060225, -0.8843738], Expected: 1, Guessed: 1
[0.96011555, -0.244169], Expected: 2, Guessed: 2
[0.78986466, 0.7609558], Expected: 0, Guessed: 0
[-0.34393358, -0.9244087], Expected: 3, Guessed: 0
[-0.2400639, 0.79318297], Expected: 0, Guessed: 0
[0.7830267, 0.15760517], Expected: 0, Guessed: 0
[0.0018490553, -0.529948], Expected: 2, Guessed: 3
[-0.7615161, -0.024560452], Expected: 3, Guessed: 3
[0.18493879, -0.64523387], Expected: 1, Guessed: 1
[-0.85420597, -0.3566872], Expected: 1, Guessed: 1
[0.52131844, -0.16656041], Expected: 0, Guessed: 0
[0.45233154, -0.54850197], Expected: 1, Guessed: 1
[-0.18222964, -0.66213286], Expected: 0, Guessed: 0
[-0.8303443, 0.012660503], Expected: 3, Guessed: 3
[-0.8142247, 0.14344561], Expected: 3, Guessed: 3
[-0.26278293, 0.6253253], Expected: 0, Guessed: 0
[0.6761966, 0.754392], Expected: 0, Guessed: 0
[0.7803856, -0.78025997], Expected: 0, Guessed: 0
[0.4650091, 0.31355083], Expected: 1, Guessed: 1
[-0.4104464, 0.27084982], Expected: 0, Guessed: 0
[-0.6051861, -0.6987927], Expected: 1, Guessed: 1
[0.9561001, 0.35268676], Expected: 2, Guessed: 0
[-0.76183283, -0.45817864], Expected: 1, Guessed: 1
[0.8306602, -0.26577568], Expected: 0, Guessed: 0
[0.088676214, 0.65109336], Expected: 1, Guessed: 2
[0.6682564, 0.9009142], Expected: 0, Guessed: 2
[0.93133104, 0.36618006], Expected: 2, Guessed: 0
[0.62350726, 0.10723281], Expected: 0, Guessed: 0
[-0.6471509, 0.45331848], Expected: 1, Guessed: 1
[0.06864071, 0.15837514], Expected: 2, Guessed: 2
[-0.7846327, -0.7700125], Expected: 1, Guessed: 3
[0.6200011, -0.6252357], Expected: 0, Guessed: 0
[-0.8466768, -0.77031624], Expected: 1, Guessed: 3
[0.14896858, -0.94143605], Expected: 2, Guessed: 2
[-0.7842262, -0.36070895], Expected: 1, Guessed: 1
[0.57578623, 0.36039424], Expected: 0, Guessed: 0
[0.64792275, 0.22103214], Expected: 0, Guessed: 0
[0.8360492, 0.9967426], Expected: 2, Guessed: 2
[-0.49930477, 0.26849473], Expected: 0, Guessed: 1
[-0.21288466, 0.21012032], Expected: 0, Guessed: 0
[-0.1784538, 0.4208554], Expected: 0, Guessed: 0
[0.2842939, 0.2671349], Expected: 1, Guessed: 1
[0.9902357, 0.95908904], Expected: 2, Guessed: 2
[-0.21557891, 0.8828236], Expected: 3, Guessed: 3
[0.2282821, 0.5267725], Expected: 1, Guessed: 1
[-0.011324525, 0.62760234], Expected: 3, Guessed: 3
[-0.63035035, 0.4564736], Expected: 1, Guessed: 1
[0.8597965, -0.3429662], Expected: 0, Guessed: 0
[-0.8963562, 0.34729385], Expected: 1, Guessed: 3
[-0.7349236, 0.2015804], Expected: 1, Guessed: 1
[-0.40905678, 0.94279397], Expected: 3, Guessed: 3
[0.21067452, -0.9828998], Expected: 2, Guessed: 2
[0.6433704, 0.3204267], Expected: 0, Guessed: 0
[0.6312882, 0.43681562], Expected: 0, Guessed: 0
[0.61187434, -0.050893188], Expected: 2, Guessed: 0
[0.7495694, 0.44787943], Expected: 0, Guessed: 0
[0.3409468, -0.76768184], Expected: 1, Guessed: 1
[0.67075527, 0.16271639], Expected: 0, Guessed: 0
[-0.35170925, 0.06807649], Expected: 3, Guessed: 0
[0.959826, 0.6455705], Expected: 2, Guessed: 2
[0.9341941, 0.96827054], Expected: 2, Guessed: 2
[-0.92751646, 0.9228889], Expected: 3, Guessed: 3
[-0.09480119, -0.96120334], Expected: 3, Guessed: 0
[-0.4301015, -0.55665696], Expected: 0, Guessed: 0
[-0.26801074, -0.81489193], Expected: 0, Guessed: 0
[-0.28563797, 0.70670104], Expected: 0, Guessed: 0
[0.0039105415, -0.7617769], Expected: 2, Guessed: 3
[0.27375734, 0.35391653], Expected: 1, Guessed: 1
[0.8753749, 0.16301155], Expected: 2, Guessed: 2
[-0.10652578, -0.036521792], Expected: 3, Guessed: 3
[-0.86293375, 0.3890921], Expected: 1, Guessed: 1
[-0.757395, -0.95272875], Expected: 3, Guessed: 3
[0.43301964, 0.7765794], Expected: 1, Guessed: 1
[-0.8941959, 0.35520434], Expected: 1, Guessed: 1
[-0.6397129, 0.3820907], Expected: 1, Guessed: 1
[-0.24684632, 0.31017792], Expected: 0, Guessed: 0
[-0.8608005, 0.519014], Expected: 1, Guessed: 1
[-0.8609302, -0.9116365], Expected: 3, Guessed: 3
[-0.631338, 0.51043665], Expected: 1, Guessed: 1
[-0.0996964, 0.07525754], Expected: 3, Guessed: 3
[-0.9468341, -0.18002677], Expected: 3, Guessed: 3
[0.66624594, -0.13717258], Expected: 0, Guessed: 0
[0.60822797, -0.8720865], Expected: 0, Guessed: 0
[-0.9328698, -0.039208055], Expected: 3, Guessed: 3
[0.4519775, -0.48323357], Expected: 1, Guessed: 1
[0.013662815, -0.5145458], Expected: 2, Guessed: 3
[0.6370553, -0.23319948], Expected: 0, Guessed: 0
[0.59267354, -0.57147455], Expected: 0, Guessed: 0
[-0.1354338, 0.27021754], Expected: 0, Guessed: 0
[-0.6735978, -0.9816642], Expected: 3, Guessed: 1
[0.27750337, 0.090025425], Expected: 2, Guessed: 2
[-0.0919013, -0.8547888], Expected: 3, Guessed: 0
[-0.68697727, -0.03934586], Expected: 3, Guessed: 3
[-0.034968138, -0.03360927], Expected: 3, Guessed: 3
[0.2906648, 0.70225847], Expected: 1, Guessed: 1
[-0.69562685, 0.42467237], Expected: 1, Guessed: 1
[0.5477779, -0.3438728], Expected: 0, Guessed: 0
[0.64155483, -0.5437306], Expected: 0, Guessed: 0
[0.055967808, -0.19244039], Expected: 2, Guessed: 2
[0.44968605, -0.26933622], Expected: 1, Guessed: 1
[0.3465687, 0.61410165], Expected: 1, Guessed: 1
[0.5387745, -0.38169754], Expected: 0, Guessed: 0
[-0.94663644, 0.9765767], Expected: 3, Guessed: 3
[-0.20758557, 0.13683593], Expected: 3, Guessed: 3
[-0.20722294, -0.040496945], Expected: 3, Guessed: 3
[-0.54389536, -0.54451096], Expected: 1, Guessed: 1
[-0.17752564, 0.8741884], Expected: 3, Guessed: 3
[0.065515876, -0.6313828], Expected: 2, Guessed: 2
[-0.1430695, -0.82385623], Expected: 3, Guessed: 0
[-0.113817096, 0.36828578], Expected: 0, Guessed: 0
[0.51253283, -0.30112863], Expected: 0, Guessed: 0
[-0.7491927, 0.5928469], Expected: 1, Guessed: 1
[-0.42413783, -0.64480805], Expected: 0, Guessed: 0
[-0.14952624, -0.79877365], Expected: 3, Guessed: 0
[0.13889718, -0.70203424], Expected: 1, Guessed: 2
[0.5666686, -0.5254911], Expected: 0, Guessed: 0
[-0.34277308, 0.26349115], Expected: 0, Guessed: 0
[0.30837452, -0.81283605], Expected: 1, Guessed: 1
[0.2263788, 0.4484005], Expected: 1, Guessed: 1
[-0.68971384, -0.8140724], Expected: 1, Guessed: 1
[-0.567227, 0.7261728], Expected: 1, Guessed: 1
[-0.9968325, -0.51280475], Expected: 3, Guessed: 3
[0.6465713, -0.36966598], Expected: 0, Guessed: 0
[0.71562946, 0.032306433], Expected: 2, Guessed: 2
[0.7419753, -0.43784845], Expected: 0, Guessed: 0
[-0.28051126, 0.1590923], Expected: 0, Guessed: 0
[-0.85417473, 0.77155197], Expected: 1, Guessed: 3
[-0.6190665, 0.14850378], Expected: 1, Guessed: 1
[0.5483372, -0.63227177], Expected: 0, Guessed: 0
[0.10081053, -0.66566956], Expected: 1, Guessed: 2
[-0.6875353, 0.9033594], Expected: 1, Guessed: 3
[-0.7254617, 0.32545805], Expected: 1, Guessed: 1
[0.87386906, -0.18733168], Expected: 2, Guessed: 2
[0.4117657, -0.8564298], Expected: 1, Guessed: 1
[0.5462934, 0.44409096], Expected: 0, Guessed: 0
[-0.15448987, -0.5593139], Expected: 0, Guessed: 0
[-0.01704061, 0.79476607], Expected: 3, Guessed: 3
[-0.07103109, 0.5027138], Expected: 0, Guessed: 0
[-0.02960527, 0.9142566], Expected: 3, Guessed: 3
[0.34555507, -0.80420136], Expected: 1, Guessed: 1
[0.655054, 0.79304016], Expected: 0, Guessed: 0
[-0.9946847, 0.256423], Expected: 3, Guessed: 3
[0.16468132, -0.7122717], Expected: 1, Guessed: 1
[-0.8886936, -0.09501052], Expected: 3, Guessed: 3
[-0.14373791, 0.06635332], Expected: 3, Guessed: 3
[-0.7234286, -0.6267476], Expected: 1, Guessed: 1
[0.10259986, 0.89626634], Expected: 2, Guessed: 2
[-0.7388501, 0.93197155], Expected: 3, Guessed: 3
[-0.84678626, -0.03661585], Expected: 3, Guessed: 3
[-0.034607172, -0.103684306], Expected: 3, Guessed: 3
[-0.26314247, -0.1699276], Expected: 0, Guessed: 0
[-0.97167313, 0.038849115], Expected: 3, Guessed: 3
[0.80819285, 0.54152334], Expected: 0, Guessed: 0
[0.78674114, -0.8243308], Expected: 0, Guessed: 0
[-0.69301903, -0.8850522], Expected: 1, Guessed: 1
[-0.21786559, -0.61107016], Expected: 0, Guessed: 0
[0.6527765, 0.93640435], Expected: 2, Guessed: 2
[-0.43000948, 0.54336226], Expected: 0, Guessed: 0
[0.63097835, 0.5970278], Expected: 0, Guessed: 0
[-0.31838012, 0.23649704], Expected: 0, Guessed: 0
[-0.4420898, 0.48042154], Expected: 0, Guessed: 0
[-0.6131487, 0.039370418], Expected: 3, Guessed: 1
[-0.6046754, 0.42894888], Expected: 1, Guessed: 1
[-0.1387564, -0.5599214], Expected: 0, Guessed: 0
[0.6015575, -0.5622717], Expected: 0, Guessed: 0
[-0.28944004, -0.94360876], Expected: 3, Guessed: 0
[0.77194405, 0.3267026], Expected: 0, Guessed: 0
[-0.9344348, 0.8517616], Expected: 3, Guessed: 3
[0.8807597, 0.40484846], Expected: 0, Guessed: 0
[0.93061674, 0.84375083], Expected: 2, Guessed: 2
[-0.43218088, -0.64568436], Expected: 0, Guessed: 0
[-0.2699176, -0.6363777], Expected: 0, Guessed: 0
[-0.676852, 0.92017424], Expected: 3, Guessed: 3
[-0.5913229, 0.6954316], Expected: 1, Guessed: 1
[0.5523039, -0.106113076], Expected: 0, Guessed: 0
[-0.3520671, 0.9333521], Expected: 3, Guessed: 3
[0.8236538, 0.63226676], Expected: 0, Guessed: 0
[-0.81496525, -0.65549946], Expected: 1, Guessed: 3
[0.60917795, 0.6714059], Expected: 0, Guessed: 0
[0.56724846, 0.26467788], Expected: 0, Guessed: 0
[0.5653633, 0.4960121], Expected: 0, Guessed: 0
[0.4314605, 0.59598076], Expected: 1, Guessed: 1
[-0.075074315, -0.76583517], Expected: 3, Guessed: 3
[0.33152378, 0.9841918], Expected: 2, Guessed: 2
[0.4791677, 0.8973315], Expected: 1, Guessed: 1
[-0.20501375, -0.4475249], Expected: 0, Guessed: 0
[0.5516821, 0.11346614], Expected: 0, Guessed: 0
[0.50544584, -0.86528254], Expected: 0, Guessed: 1
[0.45506394, 0.35127926], Expected: 1, Guessed: 1
[-0.11144078, 0.9216174], Expected: 3, Guessed: 3
[-0.6272615, -0.9432765], Expected: 3, Guessed: 1
[0.8212067, -0.40363932], Expected: 0, Guessed: 0
[0.13866234, 0.47500753], Expected: 1, Guessed: 1
[0.3583107, -0.1583091], Expected: 1, Guessed: 1
[0.7504529, 0.17593682], Expected: 0, Guessed: 0
[-0.7646023, 0.6499022], Expected: 1, Guessed: 1
[0.9296608, 0.3062148], Expected: 2, Guessed: 0
[-0.80648124, 0.42152083], Expected: 1, Guessed: 1
[-0.04913497, -0.36507964], Expected: 3, Guessed: 3
[-0.09583616, 0.31321132], Expected: 0, Guessed: 0
[0.14475012, -0.28066373], Expected: 1, Guessed: 1
[0.24416804, -0.23698962], Expected: 1, Guessed: 1
[-0.18373013, 0.5855477], Expected: 0, Guessed: 0
[0.9643762, -0.6901293], Expected: 2, Guessed: 0
[0.21561694, -0.31412494], Expected: 1, Guessed: 1
[-0.72765934, -0.38053882], Expected: 1, Guessed: 1
[0.096452475, -0.5363283], Expected: 1, Guessed: 1
[-0.3488449, -0.42977977], Expected: 0, Guessed: 0
[-0.73658776, 0.4319147], Expected: 1, Guessed: 1
[0.28749835, 0.04007685], Expected: 2, Guessed: 2
[-0.64875495, -0.5317342], Expected: 1, Guessed: 1
[-0.012842894, 0.018543959], Expected: 3, Guessed: 3
[-0.57573974, -0.8350086], Expected: 1, Guessed: 1
[0.40204585, -0.63917863], Expected: 1, Guessed: 1
[-0.5984827, -0.9272747], Expected: 1, Guessed: 1
[0.04661703, -0.93386316], Expected: 2, Guessed: 2
[-0.10391736, 0.9741484], Expected: 3, Guessed: 3
[0.9923923, 0.724064], Expected: 2, Guessed: 2
[-0.06733513, -0.24484229], Expected: 3, Guessed: 3
[-0.37278593, -0.29149115], Expected: 0, Guessed: 0
[0.8352165, -0.2488662], Expected: 0, Guessed: 0
[-0.43794382, 0.9442128], Expected: 3, Guessed: 3
[0.04411435, -0.21512067], Expected: 2, Guessed: 2
[-0.9445933, 0.41599274], Expected: 3, Guessed: 3
[-0.047989964, 0.5373417], Expected: 3, Guessed: 3
[0.3771869, 0.98379993], Expected: 2, Guessed: 2
[0.2903154, -0.13476944], Expected: 1, Guessed: 2
[-0.19403434, -0.8894558], Expected: 3, Guessed: 0
[-0.062221646, 0.5702435], Expected: 0, Guessed: 0
[0.68120587, 0.56425047], Expected: 0, Guessed: 0
[-0.9268553, -0.29179072], Expected: 3, Guessed: 3
[-0.36599672, 0.4375342], Expected: 0, Guessed: 0
[-0.2987888, -0.5153127], Expected: 0, Guessed: 0
[-0.90590465, 0.5078318], Expected: 1, Guessed: 3
[-0.87740016, 0.20431209], Expected: 3, Guessed: 3
[0.99788535, 0.26985013], Expected: 2, Guessed: 2
[-0.1994791, -0.38140488], Expected: 0, Guessed: 0
[-0.33680546, -0.70795465], Expected: 0, Guessed: 0
[-0.7578877, -0.24863231], Expected: 1, Guessed: 1
[-0.30601943, -0.07736027], Expected: 3, Guessed: 3
[0.4283272, -0.82078266], Expected: 1, Guessed: 1
[0.9561871, 0.9949887], Expected: 2, Guessed: 2
[-0.5032362, -0.48096693], Expected: 1, Guessed: 1
[0.8292891, -0.08945584], Expected: 2, Guessed: 2
[0.83947647, 0.14525294], Expected: 2, Guessed: 2
[0.5732963, 0.31998086], Expected: 0, Guessed: 0
[0.5871444, 0.95101595], Expected: 2, Guessed: 2
[-0.4744376, -0.7547145], Expected: 0, Guessed: 0
[0.207695, -0.7882203], Expected: 1, Guessed: 1
[-0.49547172, 0.71001077], Expected: 0, Guessed: 1
[0.2785387, -0.3550235], Expected: 1, Guessed: 1
[0.07861161, -0.750013], Expected: 2, Guessed: 2
[-0.4448179, -0.1709181], Expected: 0, Guessed: 0
[-0.13086486, -0.3026669], Expected: 0, Guessed: 0
[-0.55541277, 0.9004539], Expected: 1, Guessed: 1
[-0.31092668, 0.6576214], Expected: 0, Guessed: 0
[0.6199484, 0.44310057], Expected: 0, Guessed: 0
[-0.25170434, -0.41919792], Expected: 0, Guessed: 0
[-0.46348357, -0.3119483], Expected: 0, Guessed: 0
[-0.6640148, -0.63550127], Expected: 1, Guessed: 1
[0.3089112, 0.41437745], Expected: 1, Guessed: 1
[0.05834055, -0.71670127], Expected: 2, Guessed: 2
[0.10348821, -0.43149292], Expected: 1, Guessed: 1
[0.88209784, -0.37428105], Expected: 0, Guessed: 0
[0.7304591, 0.7739966], Expected: 0, Guessed: 0
[0.71067715, 0.8138735], Expected: 0, Guessed: 0
[-0.6334306, -0.82183886], Expected: 1, Guessed: 1
[0.07993162, -0.29196918], Expected: 2, Guessed: 2
[0.70840275, -0.030823827], Expected: 2, Guessed: 2
[0.66589594, -0.85600793], Expected: 0, Guessed: 0
[0.7882798, -0.70226395], Expected: 0, Guessed: 0
[-0.20984054, 0.056556344], Expected: 3, Guessed: 3
[-0.85006857, -0.9422014], Expected: 3, Guessed: 3
[0.91337097, -0.49546444], Expected: 0, Guessed: 0
[0.08162475, 0.2342174], Expected: 2, Guessed: 2
[0.42898214, -0.11464727], Expected: 1, Guessed: 1
[-0.32660127, 0.43030882], Expected: 0, Guessed: 0
[0.8939917, -0.8800247], Expected: 2, Guessed: 2
[0.16697502, 0.27102864], Expected: 1, Guessed: 1
[-0.57126665, 0.76779985], Expected: 1, Guessed: 1
[-0.50253797, -0.93094873], Expected: 1, Guessed: 1
[-0.5675044, -0.78159463], Expected: 1, Guessed: 1
[0.21210968, -0.720423], Expected: 1, Guessed: 1
[0.32603586, -0.7186805], Expected: 1, Guessed: 1
[-0.24869418, -0.4007405], Expected: 0, Guessed: 0
[0.85719514, -0.20911753], Expected: 2, Guessed: 2
[-0.91981137, -0.7643601], Expected: 3, Guessed: 3
[0.9844041, -0.94805443], Expected: 2, Guessed: 2
[-0.91362023, -0.057453036], Expected: 3, Guessed: 3
[-0.34127653, 0.020789266], Expected: 3, Guessed: 0
[-0.73762286, -0.6530489], Expected: 1, Guessed: 1
[-0.58673036, -0.3522203], Expected: 1, Guessed: 1
[-0.24671054, -0.74710643], Expected: 0, Guessed: 0
[0.775751, -0.43629873], Expected: 0, Guessed: 0
[0.686296, -0.2262609], Expected: 0, Guessed: 0
[0.6629815, -0.31361437], Expected: 0, Guessed: 0
[-0.84682584, -0.0032382011], Expected: 3, Guessed: 3
[-0.6055491, -0.06949592], Expected: 1, Guessed: 1
[0.6684252, 0.5118557], Expected: 0, Guessed: 0
[-0.64458656, 0.24968779], Expected: 1, Guessed: 1
[0.28111672, -0.4668852], Expected: 1, Guessed: 1
[0.009824038, -0.88872564], Expected: 2, Guessed: 3
[0.71804154, 0.90852964], Expected: 2, Guessed: 2
[-0.44761252, 0.24095738], Expected: 0, Guessed: 0
[-0.5501714, -0.6442481], Expected: 1, Guessed: 1
